Name        Height(m)   Weight(kg)  BMI         
Joe         1.82        72.50       21.89       
Mary        1.60        63.50       24.80       
Dion        1.90        90.70       25.12       
Kayla       1.72        66.30       22.41       
Jose        1.78        70.20       22.16       
Sofia       1.63        65.10       24.50       
Erik        1.98        92.20       23.52       
Sara        1.57        65.70       26.65       

Average     1.75        73.28       23.88       
Max         1.98        92.20       26.65       
Min         1.57        63.50       21.89       
